Дата;Температура, °С
01-03-2011;-13.23
02-03-2011;-12.36
03-03-2011;-10.38
04-03-2011;-9.14
05-03-2011;-8.53
06-03-2011;-7.08
07-03-2011;-6.33
08-03-2011;-6.31
09-03-2011;-4.44
10-03-2011;-4.48
11-03-2011;-6.45
12-03-2011;-6.20
13-03-2011;-5.98
14-03-2011;-3.07
15-03-2011;-1.57
16-03-2011;-2.30
17-03-2011;-2.87
18-03-2011;-3.35
19-03-2011;-4.45
20-03-2011;-4.06
21-03-2011;-2.73
22-03-2011;-2.94
23-03-2011;-1.77
24-03-2011;-1.32
25-03-2011;-1.89
26-03-2011;-3.20
27-03-2011;-4.03
28-03-2011;-2.83
29-03-2011;-2.12
30-03-2011;-2.58
31-03-2011;-1.96
