Дата;Температура, °С
31-05-2013;10.09
01-06-2013;9.88
02-06-2013;10.08
03-06-2013;10.77
04-06-2013;11.54
05-06-2013;12.64
06-06-2013;11.80
07-06-2013;12.17
08-06-2013;16.18
09-06-2013;18.44
10-06-2013;18.80
11-06-2013;17.94
12-06-2013;15.97
13-06-2013;16.99
14-06-2013;16.16
15-06-2013;17.27
16-06-2013;17.12
17-06-2013;16.67
18-06-2013;17.57
19-06-2013;18.84
20-06-2013;21.53
21-06-2013;21.12
22-06-2013;20.15
23-06-2013;15.24
24-06-2013;12.47
25-06-2013;12.92
26-06-2013;13.77
27-06-2013;14.40
28-06-2013;15.31
29-06-2013;14.55
30-06-2013;14.50
