Дата;Температура, °С
01-12-2016;-12.65
02-12-2016;-9.69
03-12-2016;-9.12
04-12-2016;-9.61
05-12-2016;-9.55
06-12-2016;-6.75
07-12-2016;-14.68
08-12-2016;-16.28
09-12-2016;-8.20
10-12-2016;-4.94
11-12-2016;-10.87
12-12-2016;-14.07
13-12-2016;-15.75
14-12-2016;-17.65
15-12-2016;-18.11
16-12-2016;-21.33
17-12-2016;-18.03
18-12-2016;-8.07
19-12-2016;-4.21
20-12-2016;-20.79
21-12-2016;-14.20
22-12-2016;-11.97
23-12-2016;-8.50
24-12-2016;-5.10
25-12-2016;-4.72
26-12-2016;-5.87
27-12-2016;-3.73
28-12-2016;-2.15
29-12-2016;-2.69
30-12-2016;-4.20
31-12-2016;-2.97
