Дата;Температура, °С
31-05-2020;15.02
01-06-2020;13.61
02-06-2020;13.49
03-06-2020;12.83
04-06-2020;13.18
05-06-2020;14.42
06-06-2020;15.18
07-06-2020;15.87
08-06-2020;15.86
09-06-2020;16.63
10-06-2020;17.57
11-06-2020;16.08
12-06-2020;17.36
13-06-2020;17.02
14-06-2020;14.27
15-06-2020;14.82
16-06-2020;15.09
17-06-2020;14.33
18-06-2020;14.83
19-06-2020;14.74
20-06-2020;15.05
21-06-2020;14.68
22-06-2020;15.04
23-06-2020;15.74
24-06-2020;15.18
25-06-2020;16.34
26-06-2020;17.15
27-06-2020;17.37
28-06-2020;17.77
29-06-2020;18.51
30-06-2020;19.24
