Дата;Температура, °С
29-01-2019;-16.14
30-01-2019;-18.57
31-01-2019;-22.16
01-02-2019;-21.60
02-02-2019;-20.51
03-02-2019;-23.25
04-02-2019;-24.61
05-02-2019;-26.56
06-02-2019;-25.96
07-02-2019;-25.12
08-02-2019;-18.97
09-02-2019;-17.52
10-02-2019;-13.57
11-02-2019;-14.40
12-02-2019;-11.71
13-02-2019;-9.67
14-02-2019;-8.19
15-02-2019;-8.37
16-02-2019;-9.79
17-02-2019;-9.54
18-02-2019;-8.56
19-02-2019;-10.73
20-02-2019;-15.17
21-02-2019;-10.92
22-02-2019;-5.46
23-02-2019;-7.86
24-02-2019;-10.41
25-02-2019;-9.57
26-02-2019;-9.43
27-02-2019;-10.39
28-02-2019;-12.30
