Дата;Температура, °С
01-10-2011;4.00
02-10-2011;4.80
03-10-2011;7.60
04-10-2011;9.00
05-10-2011;10.00
06-10-2011;8.60
07-10-2011;8.40
08-10-2011;8.80
09-10-2011;9.80
10-10-2011;8.20
11-10-2011;6.90
12-10-2011;8.40
13-10-2011;8.70
14-10-2011;11.40
15-10-2011;8.20
16-10-2011;6.40
17-10-2011;0.20
18-10-2011;2.70
19-10-2011;6.40
20-10-2011;7.90
21-10-2011;9.20
22-10-2011;5.90
23-10-2011;5.50
24-10-2011;2.20
25-10-2011;0.20
26-10-2011;0.30
27-10-2011;1.60
28-10-2011;3.40
29-10-2011;3.80
30-10-2011;3.50
31-10-2011;3.50
