Дата;Температура, °С
31-03-2016;2.14
01-04-2016;3.33
02-04-2016;1.96
03-04-2016;1.11
04-04-2016;0.71
05-04-2016;2.47
06-04-2016;5.98
07-04-2016;2.82
08-04-2016;0.75
09-04-2016;0.17
10-04-2016;0.00
11-04-2016;1.82
12-04-2016;2.51
13-04-2016;3.42
14-04-2016;3.03
15-04-2016;5.17
16-04-2016;4.44
17-04-2016;4.37
18-04-2016;3.76
19-04-2016;4.85
20-04-2016;5.93
21-04-2016;8.39
22-04-2016;4.47
23-04-2016;5.66
24-04-2016;5.99
25-04-2016;5.07
26-04-2016;5.49
27-04-2016;7.78
28-04-2016;7.31
29-04-2016;7.45
30-04-2016;6.69
