Дата;Температура, °С
31-03-2013;-3.80
01-04-2013;-1.10
02-04-2013;1.50
03-04-2013;4.50
04-04-2013;3.00
05-04-2013;1.80
06-04-2013;8.00
07-04-2013;7.50
08-04-2013;5.30
09-04-2013;3.60
10-04-2013;3.10
11-04-2013;6.80
12-04-2013;5.20
13-04-2013;-0.40
14-04-2013;0.20
15-04-2013;2.10
16-04-2013;4.60
17-04-2013;4.30
18-04-2013;6.10
19-04-2013;7.30
20-04-2013;11.50
21-04-2013;13.20
22-04-2013;13.00
23-04-2013;8.60
24-04-2013;5.60
25-04-2013;5.90
26-04-2013;8.40
27-04-2013;7.30
28-04-2013;7.50
29-04-2013;7.30
30-04-2013;6.90
