Дата;Температура, °С
31-05-2020;10.84
01-06-2020;9.50
02-06-2020;11.73
03-06-2020;13.29
04-06-2020;13.48
05-06-2020;13.95
06-06-2020;15.48
07-06-2020;17.58
08-06-2020;20.76
09-06-2020;19.66
10-06-2020;17.12
11-06-2020;14.76
12-06-2020;14.71
13-06-2020;15.53
14-06-2020;17.72
15-06-2020;19.25
16-06-2020;18.84
17-06-2020;17.96
18-06-2020;19.74
19-06-2020;18.62
20-06-2020;14.54
21-06-2020;15.07
22-06-2020;16.52
23-06-2020;16.81
24-06-2020;17.45
25-06-2020;19.36
26-06-2020;20.15
27-06-2020;18.48
28-06-2020;15.61
29-06-2020;14.90
30-06-2020;15.63
