Дата;Температура, °С
31-03-2012;0.29
01-04-2012;0.23
02-04-2012;-0.99
03-04-2012;0.00
04-04-2012;0.68
05-04-2012;1.28
06-04-2012;0.80
07-04-2012;2.33
08-04-2012;4.36
09-04-2012;4.17
10-04-2012;2.93
11-04-2012;3.30
12-04-2012;4.53
13-04-2012;6.17
14-04-2012;7.96
15-04-2012;9.89
16-04-2012;12.83
17-04-2012;13.61
18-04-2012;8.68
19-04-2012;8.81
20-04-2012;11.76
21-04-2012;14.20
22-04-2012;13.71
23-04-2012;13.06
24-04-2012;14.18
25-04-2012;14.73
26-04-2012;16.29
27-04-2012;15.32
28-04-2012;15.53
29-04-2012;16.21
30-04-2012;10.38
