Дата;Температура, °С
31-03-2016;2.79
01-04-2016;3.03
02-04-2016;2.87
03-04-2016;3.50
04-04-2016;3.71
05-04-2016;3.36
06-04-2016;3.46
07-04-2016;4.68
08-04-2016;5.62
09-04-2016;6.52
10-04-2016;7.18
11-04-2016;6.33
12-04-2016;5.20
13-04-2016;6.12
14-04-2016;7.82
15-04-2016;8.58
16-04-2016;8.28
17-04-2016;8.74
18-04-2016;9.54
19-04-2016;9.34
20-04-2016;8.25
21-04-2016;7.68
22-04-2016;7.35
23-04-2016;7.25
24-04-2016;7.59
25-04-2016;9.22
26-04-2016;10.21
27-04-2016;9.80
28-04-2016;9.31
29-04-2016;8.92
30-04-2016;8.97
