Дата;Температура, °С
01-08-2017;21.72
02-08-2017;22.12
03-08-2017;21.40
04-08-2017;22.20
05-08-2017;22.22
06-08-2017;20.95
07-08-2017;20.92
08-08-2017;20.92
09-08-2017;18.88
10-08-2017;18.27
11-08-2017;19.10
12-08-2017;20.45
13-08-2017;18.87
14-08-2017;18.20
15-08-2017;18.63
16-08-2017;19.38
17-08-2017;19.17
18-08-2017;18.87
19-08-2017;19.30
20-08-2017;20.29
21-08-2017;21.62
22-08-2017;22.81
23-08-2017;24.79
24-08-2017;23.42
25-08-2017;19.09
26-08-2017;17.09
27-08-2017;16.99
28-08-2017;15.58
29-08-2017;16.04
30-08-2017;16.31
31-08-2017;16.83
