Дата;Температура, °С
29-01-2018;-13.52
30-01-2018;-10.92
31-01-2018;-11.94
01-02-2018;-12.64
02-02-2018;-12.01
03-02-2018;-7.29
04-02-2018;-3.38
05-02-2018;-3.30
06-02-2018;-7.89
07-02-2018;-8.71
08-02-2018;-7.46
09-02-2018;-10.47
10-02-2018;-11.29
11-02-2018;-11.02
12-02-2018;-11.17
13-02-2018;-11.70
14-02-2018;-13.47
15-02-2018;-13.97
16-02-2018;-12.43
17-02-2018;-9.89
18-02-2018;-8.83
19-02-2018;-7.63
20-02-2018;-7.48
21-02-2018;-9.61
22-02-2018;-14.29
23-02-2018;-16.19
24-02-2018;-16.83
25-02-2018;-15.88
26-02-2018;-16.68
27-02-2018;-16.82
28-02-2018;-18.23
