Дата;Температура, °С
31-08-2019;15.64
01-09-2019;16.25
02-09-2019;16.89
03-09-2019;15.51
04-09-2019;14.10
05-09-2019;15.34
06-09-2019;14.89
07-09-2019;13.45
08-09-2019;12.88
09-09-2019;14.12
10-09-2019;16.15
11-09-2019;16.94
12-09-2019;15.48
13-09-2019;13.52
14-09-2019;10.81
15-09-2019;8.34
16-09-2019;9.16
17-09-2019;7.85
18-09-2019;6.99
19-09-2019;5.42
20-09-2019;4.90
21-09-2019;4.97
22-09-2019;4.72
23-09-2019;3.83
24-09-2019;4.03
25-09-2019;4.48
26-09-2019;5.73
27-09-2019;6.85
28-09-2019;7.35
29-09-2019;7.76
30-09-2019;9.43
