Дата;Температура, °С
31-05-2011;22.30
01-06-2011;24.60
02-06-2011;23.00
03-06-2011;22.40
04-06-2011;22.60
05-06-2011;21.00
06-06-2011;22.90
07-06-2011;24.50
08-06-2011;23.80
09-06-2011;22.80
10-06-2011;21.50
11-06-2011;20.50
12-06-2011;20.30
13-06-2011;21.80
14-06-2011;23.00
15-06-2011;21.70
16-06-2011;20.20
17-06-2011;21.10
18-06-2011;24.00
19-06-2011;23.00
20-06-2011;24.70
21-06-2011;21.40
22-06-2011;20.30
23-06-2011;21.60
24-06-2011;23.80
25-06-2011;25.20
26-06-2011;24.60
27-06-2011;18.10
28-06-2011;18.80
29-06-2011;19.90
30-06-2011;19.90
