Дата;Температура, °С
31-03-2017;3.45
01-04-2017;3.92
02-04-2017;-1.00
03-04-2017;-3.50
04-04-2017;-3.01
05-04-2017;-2.92
06-04-2017;-1.66
07-04-2017;1.16
08-04-2017;3.37
09-04-2017;0.99
10-04-2017;1.24
11-04-2017;4.84
12-04-2017;8.01
13-04-2017;8.64
14-04-2017;7.93
15-04-2017;5.47
16-04-2017;4.91
17-04-2017;5.62
18-04-2017;3.26
19-04-2017;5.45
20-04-2017;4.43
21-04-2017;3.09
22-04-2017;4.43
23-04-2017;5.28
24-04-2017;7.44
25-04-2017;9.23
26-04-2017;12.65
27-04-2017;15.78
28-04-2017;14.38
29-04-2017;11.07
30-04-2017;6.89
