Дата;Температура, °С
01-01-2016;-17.26
02-01-2016;-19.73
03-01-2016;-18.80
04-01-2016;-18.40
05-01-2016;-18.23
06-01-2016;-17.24
07-01-2016;-17.21
08-01-2016;-16.21
09-01-2016;-14.27
10-01-2016;-13.86
11-01-2016;-15.26
12-01-2016;-14.23
13-01-2016;-11.47
14-01-2016;-9.95
15-01-2016;-12.64
16-01-2016;-15.02
17-01-2016;-15.16
18-01-2016;-14.99
19-01-2016;-13.60
20-01-2016;-13.01
21-01-2016;-13.58
22-01-2016;-14.44
23-01-2016;-15.07
24-01-2016;-15.95
25-01-2016;-16.56
26-01-2016;-15.19
27-01-2016;-13.96
28-01-2016;-12.79
29-01-2016;-12.23
30-01-2016;-9.54
31-01-2016;-7.39
