Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-07-2018;288501;288864
02-07-2018;298349;296004
03-07-2018;294039;291608
04-07-2018;289043;285176
05-07-2018;287355;284246
06-07-2018;283867;275088
07-07-2018;279211;261731
08-07-2018;275446;268601
09-07-2018;300830;290751
10-07-2018;303744;306437
11-07-2018;306586;315690
12-07-2018;308909;315365
13-07-2018;307031;311597
14-07-2018;297614;295652
15-07-2018;295266;273349
16-07-2018;296349;267033
17-07-2018;288437;264930
18-07-2018;288971;270998
19-07-2018;285938;270243
20-07-2018;285248;268398
21-07-2018;264630;262739
22-07-2018;252159;261397
23-07-2018;264067;269675
24-07-2018;276170;274749
25-07-2018;287148;285913
26-07-2018;291657;293930
27-07-2018;291336;301135
28-07-2018;288718;288659
29-07-2018;294437;289511
30-07-2018;301105;307660
