Дата;Генерация, МВт*ч;Потребление, МВт*ч
31-08-2019;98588;85104
01-09-2019;100490;86951
02-09-2019;102656;89085
03-09-2019;104501;90927
04-09-2019;104248;90698
05-09-2019;103271;89911
06-09-2019;102685;89472
07-09-2019;101885;88676
08-09-2019;101644;89367
09-09-2019;97345;90576
10-09-2019;98201;91440
11-09-2019;99253;92426
12-09-2019;98868;90853
13-09-2019;105287;91873
14-09-2019;103687;90009
15-09-2019;103724;89904
16-09-2019;110780;94656
17-09-2019;110699;91039
18-09-2019;110085;92198
19-09-2019;99921;91862
20-09-2019;107940;94292
21-09-2019;107299;93680
22-09-2019;106301;92586
23-09-2019;109248;95144
24-09-2019;111952;97677
25-09-2019;110999;96800
26-09-2019;110346;96183
27-09-2019;110433;95286
28-09-2019;105416;91010
29-09-2019;107029;92342
