Дата;Генерация, МВт*ч;Потребление, МВт*ч
29-01-2014;122006;112698
30-01-2014;119491;110779
31-01-2014;118613;112308
01-02-2014;116855;110497
02-02-2014;116574;110303
03-02-2014;118497;112397
04-02-2014;119908;113650
05-02-2014;125160;116098
06-02-2014;124394;115216
07-02-2014;123565;114538
08-02-2014;121237;112197
09-02-2014;121984;112850
10-02-2014;124612;115418
11-02-2014;123884;114830
12-02-2014;122046;113087
13-02-2014;122991;114168
14-02-2014;122221;113351
15-02-2014;119366;110531
16-02-2014;119324;110456
17-02-2014;121235;112267
18-02-2014;119262;110093
19-02-2014;118234;109331
20-02-2014;116327;107306
21-02-2014;117873;109304
22-02-2014;116948;107886
23-02-2014;113750;105070
24-02-2014;113476;104476
25-02-2014;111685;102828
26-02-2014;111577;102436
27-02-2014;112159;102831
