Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-10-2011;282367;274702
02-10-2011;276859;267164
03-10-2011;298379;297439
04-10-2011;293754;301769
05-10-2011;293235;303886
06-10-2011;289585;298956
07-10-2011;290102;294997
08-10-2011;275550;275733
09-10-2011;269587;260742
10-10-2011;298167;291160
11-10-2011;297955;294463
12-10-2011;294658;295797
13-10-2011;295826;297884
14-10-2011;302272;296588
15-10-2011;297585;281748
16-10-2011;287082;275401
17-10-2011;318591;307088
18-10-2011;304673;308919
19-10-2011;305238;311093
20-10-2011;310385;312754
21-10-2011;303918;310692
22-10-2011;296285;293076
23-10-2011;290377;282262
24-10-2011;321564;317185
25-10-2011;328187;324902
26-10-2011;330064;326111
27-10-2011;323071;328083
28-10-2011;319562;327318
29-10-2011;307645;306835
30-10-2011;282527;294800
