Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-08-2016;262305;245715
02-08-2016;265907;257316
03-08-2016;268019;262160
04-08-2016;269749;252508
05-08-2016;269803;254510
06-08-2016;267234;248851
07-08-2016;269402;244935
08-08-2016;270282;257092
09-08-2016;264962;261213
10-08-2016;269805;264042
11-08-2016;270295;258935
12-08-2016;273006;261074
13-08-2016;265763;259655
14-08-2016;252844;229516
15-08-2016;258648;225026
16-08-2016;260275;228330
17-08-2016;260317;235336
18-08-2016;264188;237266
19-08-2016;264261;242933
20-08-2016;261042;249608
21-08-2016;257488;246575
22-08-2016;264009;258691
23-08-2016;258181;261373
24-08-2016;255957;258943
25-08-2016;257364;253673
26-08-2016;260111;241953
27-08-2016;255936;233615
28-08-2016;253268;229723
29-08-2016;262745;245500
30-08-2016;261866;243880
