Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-10-2012;199229;202196
02-10-2012;199527;202585
03-10-2012;200029;203514
04-10-2012;201054;203597
05-10-2012;199814;204782
06-10-2012;186231;197275
07-10-2012;185112;192133
08-10-2012;197876;203588
09-10-2012;196265;206423
10-10-2012;200069;207201
11-10-2012;203982;210827
12-10-2012;205049;216073
13-10-2012;201073;208675
14-10-2012;200110;204212
15-10-2012;209824;216811
16-10-2012;207391;216557
17-10-2012;208231;217190
18-10-2012;207144;216762
19-10-2012;208771;217567
20-10-2012;195046;210395
21-10-2012;193152;206522
22-10-2012;213047;219059
23-10-2012;217675;222698
24-10-2012;224542;227669
25-10-2012;226592;229644
26-10-2012;219322;226646
27-10-2012;209127;219589
28-10-2012;205228;214615
29-10-2012;212264;225116
30-10-2012;219871;223011
