Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-10-2017;623707;623734
02-10-2017;678951;680563
03-10-2017;691165;685057
04-10-2017;681022;682770
05-10-2017;678168;681997
06-10-2017;670863;675255
07-10-2017;656506;633598
08-10-2017;642682;617517
09-10-2017;667312;659517
10-10-2017;676467;657702
11-10-2017;680355;662770
12-10-2017;687514;668038
13-10-2017;688980;666993
14-10-2017;657466;633235
15-10-2017;650730;627155
16-10-2017;678605;667113
17-10-2017;676315;661072
18-10-2017;674158;656088
19-10-2017;671285;655785
20-10-2017;659326;662657
21-10-2017;637621;646962
22-10-2017;620367;643096
23-10-2017;678622;689491
24-10-2017;699169;702211
25-10-2017;704509;709225
26-10-2017;704322;712639
27-10-2017;711843;712472
28-10-2017;680967;678063
29-10-2017;652537;656996
30-10-2017;680383;694375
