Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-08-2011;2442554;2405390
02-08-2011;2430517;2392797
03-08-2011;2426055;2377382
04-08-2011;2421723;2372281
05-08-2011;2402152;2358388
06-08-2011;2305092;2251682
07-08-2011;2265549;2215208
08-08-2011;2405717;2362122
09-08-2011;2428217;2381842
10-08-2011;2459065;2399006
11-08-2011;2464330;2406586
12-08-2011;2457679;2397928
13-08-2011;2372241;2307973
14-08-2011;2330945;2269265
15-08-2011;2478795;2417336
16-08-2011;2483222;2418205
17-08-2011;2459416;2404110
18-08-2011;2446047;2396748
19-08-2011;2421410;2375267
20-08-2011;2339052;2283912
21-08-2011;2308371;2251331
22-08-2011;2426551;2370570
23-08-2011;2441271;2391145
24-08-2011;2453444;2396365
25-08-2011;2461622;2401671
26-08-2011;2467800;2399799
27-08-2011;2363674;2296579
28-08-2011;2324784;2260462
29-08-2011;2458574;2395986
30-08-2011;2468672;2408015
