Дата;Генерация, МВт*ч;Потребление, МВт*ч
31-08-2018;656849;661399
01-09-2018;656539;646033
02-09-2018;657383;646602
03-09-2018;665918;652637
04-09-2018;659746;650941
05-09-2018;666541;645299
06-09-2018;664579;649600
07-09-2018;664606;656977
08-09-2018;663512;649661
09-09-2018;655790;651599
10-09-2018;676238;669843
11-09-2018;678605;672220
12-09-2018;686253;667525
13-09-2018;689539;668109
14-09-2018;687212;670395
15-09-2018;675820;658192
16-09-2018;669007;652995
17-09-2018;666060;665246
18-09-2018;664872;664532
19-09-2018;682425;667466
20-09-2018;689508;668671
21-09-2018;686526;672241
22-09-2018;672413;661505
23-09-2018;665294;654055
24-09-2018;691720;673517
25-09-2018;706257;672469
26-09-2018;699351;671870
27-09-2018;700400;675019
28-09-2018;694695;683966
29-09-2018;684579;677336
