Дата;Генерация, МВт*ч;Потребление, МВт*ч
31-05-2018;266077;227517
01-06-2018;271078;226554
02-06-2018;263757;217067
03-06-2018;258846;212318
04-06-2018;264823;222646
05-06-2018;257426;226247
06-06-2018;270401;227453
07-06-2018;274190;229389
08-06-2018;276440;230351
09-06-2018;270845;228161
10-06-2018;271195;218089
11-06-2018;271562;218735
12-06-2018;270860;215411
13-06-2018;277298;223872
14-06-2018;277861;222424
15-06-2018;276155;222059
16-06-2018;265903;214112
17-06-2018;262876;209701
18-06-2018;264856;218226
19-06-2018;272219;217499
20-06-2018;284162;218296
21-06-2018;290175;222457
22-06-2018;291382;222894
23-06-2018;291633;214308
24-06-2018;291807;215030
25-06-2018;291853;223360
26-06-2018;293813;223268
27-06-2018;283686;223220
28-06-2018;282151;224111
29-06-2018;287497;224407
