Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-05-2014;257584;234103
02-05-2014;256740;231565
03-05-2014;270131;236150
04-05-2014;267058;236749
05-05-2014;270221;260111
06-05-2014;265623;262394
07-05-2014;270012;262548
08-05-2014;262116;258609
09-05-2014;243437;230320
10-05-2014;251007;231764
11-05-2014;252172;232905
12-05-2014;261503;257853
13-05-2014;272107;261876
14-05-2014;273429;261643
15-05-2014;281621;263598
16-05-2014;274771;264856
17-05-2014;263494;250012
18-05-2014;257178;239035
19-05-2014;285673;262232
20-05-2014;281843;264624
21-05-2014;286023;265267
22-05-2014;280613;267181
23-05-2014;280548;267589
24-05-2014;282748;252221
25-05-2014;272781;243309
26-05-2014;286273;272312
27-05-2014;271995;271728
28-05-2014;268738;265101
29-05-2014;268173;262037
30-05-2014;267690;259495
