Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-12-2012;331230;317403
02-12-2012;324446;305246
03-12-2012;340227;334827
04-12-2012;332760;338127
05-12-2012;330567;335913
06-12-2012;337765;339030
07-12-2012;337925;344833
08-12-2012;336467;325923
09-12-2012;324187;313660
10-12-2012;337547;344321
11-12-2012;342069;350878
12-12-2012;338478;358084
13-12-2012;346242;361164
14-12-2012;347005;368595
15-12-2012;353484;352178
16-12-2012;350166;340589
17-12-2012;385258;373296
18-12-2012;382662;380225
19-12-2012;392259;383575
20-12-2012;404082;387280
21-12-2012;396985;386602
22-12-2012;389485;367383
23-12-2012;376097;357689
24-12-2012;403773;387867
25-12-2012;409540;386853
26-12-2012;395837;380248
27-12-2012;368289;359557
28-12-2012;363767;348304
29-12-2012;362309;333496
30-12-2012;336389;319431
