Дата;Генерация, МВт*ч;Потребление, МВт*ч
31-10-2015;242146;249385
01-11-2015;240574;246690
02-11-2015;251154;258499
03-11-2015;251445;256117
04-11-2015;242131;242071
05-11-2015;252684;249459
06-11-2015;249697;251819
07-11-2015;250091;247826
08-11-2015;241315;242274
09-11-2015;252609;255320
10-11-2015;251830;254359
11-11-2015;255598;257970
12-11-2015;250901;255093
13-11-2015;251676;256605
14-11-2015;242738;249247
15-11-2015;242120;248224
16-11-2015;251090;258214
17-11-2015;258342;265777
18-11-2015;265863;267681
19-11-2015;270492;268451
20-11-2015;259253;263275
21-11-2015;254594;248080
22-11-2015;241579;239642
23-11-2015;255466;247286
24-11-2015;251444;249325
25-11-2015;255174;256017
26-11-2015;251095;253443
27-11-2015;260143;257749
28-11-2015;258183;254432
29-11-2015;246516;250563
