Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-01-2013;210361;247512
02-01-2013;218293;249985
03-01-2013;227368;260509
04-01-2013;229653;259442
05-01-2013;230809;261885
06-01-2013;229388;257402
07-01-2013;228805;257176
08-01-2013;237921;270647
09-01-2013;256279;284459
10-01-2013;260871;289380
11-01-2013;258715;292408
12-01-2013;247640;278117
13-01-2013;238889;269593
14-01-2013;265440;285922
15-01-2013;272874;287621
16-01-2013;269455;290272
17-01-2013;261309;289994
18-01-2013;248791;278222
19-01-2013;232394;260204
20-01-2013;229282;257749
21-01-2013;250152;269326
22-01-2013;249786;263471
23-01-2013;243655;262838
24-01-2013;241787;264704
25-01-2013;247026;267268
26-01-2013;237382;263301
27-01-2013;234129;260840
28-01-2013;248537;272508
29-01-2013;251863;273809
30-01-2013;248890;277064
