Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-08-2012;617127;609020
02-08-2012;620060;612645
03-08-2012;617447;614343
04-08-2012;605792;600138
05-08-2012;607111;597725
06-08-2012;631306;624988
07-08-2012;626821;624907
08-08-2012;630104;626898
09-08-2012;635035;630362
10-08-2012;634003;632267
11-08-2012;622943;617261
12-08-2012;616299;609649
13-08-2012;635261;631425
14-08-2012;622092;626957
15-08-2012;620433;624099
16-08-2012;636490;634467
17-08-2012;632196;633336
18-08-2012;630709;620350
19-08-2012;617802;612753
20-08-2012;635905;630045
21-08-2012;631961;634857
22-08-2012;634903;634284
23-08-2012;628225;639097
24-08-2012;641828;638857
25-08-2012;638268;624786
26-08-2012;630195;617687
27-08-2012;649799;640662
28-08-2012;649226;640649
29-08-2012;646052;641899
30-08-2012;647532;642562
