Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-12-2017;624596;648267
02-12-2017;614665;646873
03-12-2017;609392;638106
04-12-2017;620507;642075
05-12-2017;615126;634880
06-12-2017;609640;632283
07-12-2017;610532;635671
08-12-2017;621323;639803
09-12-2017;624397;640324
10-12-2017;625242;639951
11-12-2017;645966;651276
12-12-2017;646559;658226
13-12-2017;650664;660040
14-12-2017;651643;661661
15-12-2017;653963;663383
16-12-2017;636568;649957
17-12-2017;618519;640646
18-12-2017;644131;653582
19-12-2017;642756;651184
20-12-2017;642681;655781
21-12-2017;638015;655869
22-12-2017;630921;653781
23-12-2017;619122;640142
24-12-2017;619649;636484
25-12-2017;641697;651773
26-12-2017;633881;641780
27-12-2017;632614;642480
28-12-2017;636733;645822
29-12-2017;626382;641629
30-12-2017;620631;634447
