Дата;Генерация, МВт*ч;Потребление, МВт*ч
31-03-2011;556898;581499
01-04-2011;549376;576632
02-04-2011;546165;565132
03-04-2011;537729;560946
04-04-2011;550470;578395
05-04-2011;553513;578258
06-04-2011;548463;576466
07-04-2011;547401;575502
08-04-2011;551400;570366
09-04-2011;535488;557373
10-04-2011;520596;546263
11-04-2011;530480;550506
12-04-2011;524682;543571
13-04-2011;524680;542955
14-04-2011;519254;540974
15-04-2011;514915;535299
16-04-2011;505678;522713
17-04-2011;501651;517722
18-04-2011;517389;533250
19-04-2011;514511;531739
20-04-2011;515280;533982
21-04-2011;507867;530922
22-04-2011;510944;528719
23-04-2011;499177;523733
24-04-2011;487812;510810
25-04-2011;505034;531238
26-04-2011;510407;532690
27-04-2011;513377;535958
28-04-2011;510120;536090
29-04-2011;504396;527895
