Дата;Генерация, МВт*ч;Потребление, МВт*ч
31-03-2015;253161;253093
01-04-2015;250667;253012
02-04-2015;247600;255353
03-04-2015;246343;252511
04-04-2015;241796;246674
05-04-2015;229038;237393
06-04-2015;244408;242696
07-04-2015;239383;241965
08-04-2015;245687;242527
09-04-2015;249018;247697
10-04-2015;245721;245791
11-04-2015;233332;235678
12-04-2015;219073;217903
13-04-2015;227517;230212
14-04-2015;228505;229307
15-04-2015;237268;235347
16-04-2015;234107;236155
17-04-2015;223718;228443
18-04-2015;216023;218649
19-04-2015;207540;214211
20-04-2015;231276;225788
21-04-2015;232785;236909
22-04-2015;233189;240880
23-04-2015;234528;240534
24-04-2015;236188;236328
25-04-2015;218664;223317
26-04-2015;205342;212089
27-04-2015;214754;215341
28-04-2015;213342;212562
29-04-2015;220045;208516
