Дата;Генерация, МВт*ч;Потребление, МВт*ч
31-03-2015;311569;270629
01-04-2015;314807;266135
02-04-2015;309613;266249
03-04-2015;302294;263197
04-04-2015;286293;253305
05-04-2015;289776;245600
06-04-2015;290760;256709
07-04-2015;281626;257725
08-04-2015;283910;257523
09-04-2015;282010;256604
10-04-2015;282098;256069
11-04-2015;284727;244598
12-04-2015;274499;234905
13-04-2015;280226;249472
14-04-2015;281768;254080
15-04-2015;275113;254525
16-04-2015;275571;252289
17-04-2015;276056;253213
18-04-2015;262648;243384
19-04-2015;266211;242180
20-04-2015;279912;252148
21-04-2015;281793;251551
22-04-2015;279740;251417
23-04-2015;281054;254366
24-04-2015;270913;250382
25-04-2015;266272;239855
26-04-2015;266584;238164
27-04-2015;269011;244582
28-04-2015;264001;244175
29-04-2015;269197;245860
