Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-08-2016;242691;211893
02-08-2016;264321;212328
03-08-2016;263213;211769
04-08-2016;260780;213242
05-08-2016;260062;213841
06-08-2016;252871;206124
07-08-2016;253273;203583
08-08-2016;257662;212291
09-08-2016;258360;211507
10-08-2016;260837;212930
11-08-2016;262838;216956
12-08-2016;258998;214713
13-08-2016;259766;206675
14-08-2016;262234;205113
15-08-2016;265523;217147
16-08-2016;270671;221309
17-08-2016;271957;219416
18-08-2016;274253;219125
19-08-2016;271926;217467
20-08-2016;270603;211415
21-08-2016;270092;207414
22-08-2016;272081;218229
23-08-2016;269311;220813
24-08-2016;267854;218773
25-08-2016;268962;218750
26-08-2016;267325;219405
27-08-2016;261209;209568
28-08-2016;270425;208725
29-08-2016;272702;223482
30-08-2016;271903;224900
