Дата;Генерация, МВт*ч;Потребление, МВт*ч
31-08-2018;2682594;2602133
01-09-2018;2595068;2505095
02-09-2018;2569029;2481301
03-09-2018;2660359;2579648
04-09-2018;2646733;2574973
05-09-2018;2649789;2581760
06-09-2018;2641525;2577350
07-09-2018;2643602;2576397
08-09-2018;2588273;2508169
09-09-2018;2559362;2490939
10-09-2018;2672638;2601653
11-09-2018;2670627;2614037
12-09-2018;2692127;2629427
13-09-2018;2709993;2639655
14-09-2018;2700887;2635184
15-09-2018;2646152;2563192
16-09-2018;2612287;2530452
17-09-2018;2703405;2630550
18-09-2018;2704946;2638714
19-09-2018;2708261;2645951
20-09-2018;2721421;2650654
21-09-2018;2705204;2639352
22-09-2018;2626397;2567205
23-09-2018;2600753;2538545
24-09-2018;2720094;2662235
25-09-2018;2760977;2694495
26-09-2018;2766041;2705973
27-09-2018;2805650;2738808
28-09-2018;2817649;2754050
29-09-2018;2752836;2683837
