Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-10-2012;504010;539770
02-10-2012;521629;541434
03-10-2012;522172;540979
04-10-2012;516359;540154
05-10-2012;521205;543588
06-10-2012;519015;537482
07-10-2012;516240;536944
08-10-2012;533972;554484
09-10-2012;533391;554662
10-10-2012;537595;556831
11-10-2012;539510;564807
12-10-2012;547494;571615
13-10-2012;543295;566363
14-10-2012;533087;561276
15-10-2012;551626;578168
16-10-2012;560276;580852
17-10-2012;562292;579404
18-10-2012;562373;583384
19-10-2012;561414;587415
20-10-2012;556740;585322
21-10-2012;547355;574441
22-10-2012;555297;580925
23-10-2012;559932;582215
24-10-2012;568782;587628
25-10-2012;575876;594557
26-10-2012;574348;596614
27-10-2012;567927;592979
28-10-2012;566489;591772
29-10-2012;574140;599967
30-10-2012;569810;596087
