Дата;Генерация, МВт*ч;Потребление, МВт*ч
31-03-2014;98260;86691
01-04-2014;97180;85382
02-04-2014;100161;88425
03-04-2014;99346;87542
04-04-2014;98964;87240
05-04-2014;97381;88242
06-04-2014;96003;87017
07-04-2014;96741;85458
08-04-2014;93942;82438
09-04-2014;95357;83617
10-04-2014;96371;84642
11-04-2014;94664;82905
12-04-2014;90353;81389
13-04-2014;89568;80415
14-04-2014;93387;81910
15-04-2014;92773;82361
16-04-2014;95366;83462
17-04-2014;94672;82939
18-04-2014;94342;82724
19-04-2014;90796;82021
20-04-2014;87579;78697
21-04-2014;92015;80661
22-04-2014;90129;79147
23-04-2014;89455;78165
24-04-2014;87294;76840
25-04-2014;86967;75581
26-04-2014;83425;74630
27-04-2014;83077;74916
28-04-2014;83894;72492
29-04-2014;81532;70709
