Дата;Генерация, МВт*ч;Потребление, МВт*ч
31-10-2020;124137;116947
01-11-2020;122778;116213
02-11-2020;127230;119772
03-11-2020;130319;122677
04-11-2020;129051;121496
05-11-2020;128580;121447
06-11-2020;129453;121931
07-11-2020;128583;120818
08-11-2020;130645;122969
09-11-2020;133214;125566
10-11-2020;130588;122591
11-11-2020;132414;124250
12-11-2020;130280;122209
13-11-2020;128848;120741
14-11-2020;129506;121370
15-11-2020;128613;120693
16-11-2020;132344;124148
17-11-2020;135819;127597
18-11-2020;137346;129215
19-11-2020;131159;122945
20-11-2020;128147;120020
21-11-2020;129119;120927
22-11-2020;131128;123054
23-11-2020;134546;126455
24-11-2020;135660;127602
25-11-2020;138157;130072
26-11-2020;137714;129790
27-11-2020;138973;130917
28-11-2020;140386;132327
29-11-2020;78041;73560
