Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-07-2015;72742;69251
02-07-2015;72847;69440
03-07-2015;72005;68521
04-07-2015;71457;67850
05-07-2015;70061;66504
06-07-2015;70967;67446
07-07-2015;70167;66675
08-07-2015;69912;66501
09-07-2015;72462;68850
10-07-2015;73757;70155
11-07-2015;73386;69609
12-07-2015;72697;69289
13-07-2015;72632;69295
14-07-2015;69234;66144
15-07-2015;70309;66936
16-07-2015;83480;67158
17-07-2015;83899;67716
18-07-2015;84172;68383
19-07-2015;85139;69558
20-07-2015;87549;71883
21-07-2015;88407;72883
22-07-2015;87452;72207
23-07-2015;86015;72934
24-07-2015;86528;71388
25-07-2015;84091;68895
26-07-2015;83658;68488
27-07-2015;86013;70831
28-07-2015;87746;71841
29-07-2015;88284;72290
30-07-2015;88204;72247
