Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-03-2020;727838;728298
02-03-2020;758262;747086
03-03-2020;753290;746179
04-03-2020;755247;747354
05-03-2020;756026;747680
06-03-2020;767358;756641
07-03-2020;759234;744824
08-03-2020;707940;723941
09-03-2020;714202;726144
10-03-2020;734039;741657
11-03-2020;735176;736850
12-03-2020;737825;729846
13-03-2020;730735;729590
14-03-2020;705696;715826
15-03-2020;689064;717308
16-03-2020;727067;738911
17-03-2020;733106;735777
18-03-2020;732739;732297
19-03-2020;735720;732400
20-03-2020;724346;734363
21-03-2020;698140;724187
22-03-2020;670408;721446
23-03-2020;722602;738625
24-03-2020;746663;739649
25-03-2020;739841;737758
26-03-2020;722554;734095
27-03-2020;708595;725396
28-03-2020;677420;707038
29-03-2020;661456;695014
30-03-2020;676129;687283
