Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-01-2011;314322;271895
02-01-2011;319629;275541
03-01-2011;323272;284886
04-01-2011;329562;290535
05-01-2011;341527;292338
06-01-2011;343353;291589
07-01-2011;339025;285069
08-01-2011;335296;281416
09-01-2011;332945;279650
10-01-2011;336935;282627
11-01-2011;338895;294355
12-01-2011;337200;297877
13-01-2011;339246;298880
14-01-2011;341682;301124
15-01-2011;333130;291312
16-01-2011;330904;293305
17-01-2011;350691;309624
18-01-2011;350915;303374
19-01-2011;352700;299666
20-01-2011;339555;298834
21-01-2011;350136;300727
22-01-2011;335254;288352
23-01-2011;327130;288431
24-01-2011;347840;313577
25-01-2011;345294;307957
26-01-2011;348086;308693
27-01-2011;348319;315803
28-01-2011;345490;309576
29-01-2011;325241;290434
30-01-2011;325133;284019
