Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-12-2018;622945;636691
02-12-2018;632948;644396
03-12-2018;644009;660771
04-12-2018;656985;673064
05-12-2018;664584;683013
06-12-2018;669456;686370
07-12-2018;671309;684776
08-12-2018;667126;671129
09-12-2018;656441;665953
10-12-2018;665394;674837
11-12-2018;661638;667958
12-12-2018;661236;665329
13-12-2018;657560;659142
14-12-2018;650870;655819
15-12-2018;639031;644786
16-12-2018;635012;638321
17-12-2018;639020;648580
18-12-2018;630655;647762
19-12-2018;632242;648078
20-12-2018;652135;658184
21-12-2018;664537;668744
22-12-2018;662135;661051
23-12-2018;665344;661122
24-12-2018;677784;686137
25-12-2018;683632;691578
26-12-2018;687616;698427
27-12-2018;687889;699093
28-12-2018;681342;692530
29-12-2018;674379;685654
30-12-2018;666205;676839
