Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-07-2014;232695;211792
02-07-2014;223588;210310
03-07-2014;223307;208843
04-07-2014;229455;208952
05-07-2014;216410;196329
06-07-2014;213217;191454
07-07-2014;223718;203590
08-07-2014;219475;203732
09-07-2014;224448;205466
10-07-2014;227364;204475
11-07-2014;227173;203907
12-07-2014;215191;194468
13-07-2014;210126;190748
14-07-2014;213085;201609
15-07-2014;210756;199577
16-07-2014;202205;199765
17-07-2014;209863;201085
18-07-2014;205911;201527
19-07-2014;209059;191477
20-07-2014;209079;187783
21-07-2014;223784;201277
22-07-2014;217794;203430
23-07-2014;227870;203863
24-07-2014;228304;205109
25-07-2014;223649;205308
26-07-2014;209711;195845
27-07-2014;208561;192815
28-07-2014;218280;207141
29-07-2014;218137;209194
30-07-2014;213192;207713
