Дата;Генерация, МВт*ч;Потребление, МВт*ч
31-08-2016;496075;495530
01-09-2016;488287;494346
02-09-2016;499279;500941
03-09-2016;504623;497843
04-09-2016;503007;495712
05-09-2016;506318;502067
06-09-2016;502732;498709
07-09-2016;503062;499004
08-09-2016;508585;500242
09-09-2016;502829;498603
10-09-2016;500435;492878
11-09-2016;503200;491472
12-09-2016;506045;500356
13-09-2016;499838;500257
14-09-2016;495699;500379
15-09-2016;499980;502691
16-09-2016;495245;501374
17-09-2016;504071;496568
18-09-2016;502878;491941
19-09-2016;505392;504553
20-09-2016;504352;505348
21-09-2016;512111;509028
22-09-2016;518403;514212
23-09-2016;519256;518702
24-09-2016;529196;517250
25-09-2016;535045;519910
26-09-2016;536807;533810
27-09-2016;541327;536648
28-09-2016;551111;540869
29-09-2016;549665;542077
