Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-05-2015;266230;229225
02-05-2015;265259;229114
03-05-2015;265309;227895
04-05-2015;273960;230163
05-05-2015;282549;238134
06-05-2015;279228;234655
07-05-2015;278152;233330
08-05-2015;269093;233101
09-05-2015;257108;215332
10-05-2015;252250;216001
11-05-2015;251853;221161
12-05-2015;251908;229345
13-05-2015;260310;228561
14-05-2015;251693;228442
15-05-2015;250125;226233
16-05-2015;228448;218999
17-05-2015;225060;215782
18-05-2015;233196;230329
19-05-2015;232162;230720
20-05-2015;234318;224088
21-05-2015;237607;226153
22-05-2015;237608;223701
23-05-2015;230946;211941
24-05-2015;227714;207627
25-05-2015;237726;217315
26-05-2015;236318;217926
27-05-2015;237336;217019
28-05-2015;236412;218358
29-05-2015;239516;214960
30-05-2015;225326;203111
