Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-05-2020;509710;571243
02-05-2020;491801;560143
03-05-2020;467960;542543
04-05-2020;470588;544476
05-05-2020;470803;538756
06-05-2020;470252;547004
07-05-2020;465179;541756
08-05-2020;459943;548118
09-05-2020;443496;526250
10-05-2020;455561;527397
11-05-2020;451609;525221
12-05-2020;480719;549175
13-05-2020;480270;571649
14-05-2020;475580;579190
15-05-2020;474235;579358
16-05-2020;467626;561416
17-05-2020;469685;552244
18-05-2020;519573;590866
19-05-2020;531347;597178
20-05-2020;530812;597028
21-05-2020;537307;609029
22-05-2020;547178;615538
23-05-2020;498429;593611
24-05-2020;486180;580976
25-05-2020;519663;592005
26-05-2020;517608;583391
27-05-2020;504771;578947
28-05-2020;495818;567593
29-05-2020;501229;581397
30-05-2020;486267;544489
