Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-12-2015;3134904;3096037
02-12-2015;3131324;3097844
03-12-2015;3148511;3108923
04-12-2015;3153345;3114929
05-12-2015;3069238;3011773
06-12-2015;2990492;2956466
07-12-2015;3093780;3067319
08-12-2015;3105448;3071841
09-12-2015;3121884;3086437
10-12-2015;3128365;3096683
11-12-2015;3138673;3101618
12-12-2015;3074372;3030295
13-12-2015;3026311;2979896
14-12-2015;3158709;3114749
15-12-2015;3173423;3125699
16-12-2015;3215591;3164195
17-12-2015;3237930;3187551
18-12-2015;3253845;3202604
19-12-2015;3169644;3105722
20-12-2015;3095618;3045725
21-12-2015;3197350;3158396
22-12-2015;3179272;3141765
23-12-2015;3157664;3123296
24-12-2015;3145243;3110525
25-12-2015;3146441;3109019
26-12-2015;3085803;3040248
27-12-2015;3040835;3001496
28-12-2015;3167592;3126758
29-12-2015;3177245;3140946
30-12-2015;3186475;3146316
