Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-07-2011;445057;470978
02-07-2011;441608;461091
03-07-2011;439960;460091
04-07-2011;458254;478156
05-07-2011;455377;477105
06-07-2011;461682;479217
07-07-2011;461359;477367
08-07-2011;464658;476204
09-07-2011;451480;470958
10-07-2011;440511;465812
11-07-2011;459352;479162
12-07-2011;464524;477771
13-07-2011;461853;475988
14-07-2011;457179;475488
15-07-2011;450461;471298
16-07-2011;442867;462148
17-07-2011;443879;459708
18-07-2011;459524;473395
19-07-2011;457245;475081
20-07-2011;452722;476848
21-07-2011;456244;475782
22-07-2011;454164;477388
23-07-2011;444145;466234
24-07-2011;443332;461472
25-07-2011;459149;480177
26-07-2011;457484;477359
27-07-2011;464536;482989
28-07-2011;469458;482742
29-07-2011;457909;479676
30-07-2011;455791;474230
