Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-07-2020;267530;261244
02-07-2020;280332;274897
03-07-2020;288052;282961
04-07-2020;286310;284446
05-07-2020;286239;287746
06-07-2020;301027;306953
07-07-2020;311809;317940
08-07-2020;305768;299811
09-07-2020;294340;273548
10-07-2020;286577;268545
11-07-2020;278095;267368
12-07-2020;271520;274799
13-07-2020;287747;276224
14-07-2020;282093;266387
15-07-2020;280479;259650
16-07-2020;280254;267282
17-07-2020;281770;264017
18-07-2020;275741;263658
19-07-2020;279332;265721
20-07-2020;288535;284795
21-07-2020;288520;270718
22-07-2020;285033;272540
23-07-2020;283879;269018
24-07-2020;279848;265097
25-07-2020;277188;263092
26-07-2020;274876;267859
27-07-2020;291007;280806
28-07-2020;293684;276005
29-07-2020;286054;273306
30-07-2020;287201;282324
