Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-03-2018;372778;316020
02-03-2018;372828;311950
03-03-2018;363884;303688
04-03-2018;376127;300116
05-03-2018;370324;311343
06-03-2018;357292;311178
07-03-2018;359537;309108
08-03-2018;363038;293442
09-03-2018;361321;292400
10-03-2018;366530;289976
11-03-2018;360494;284812
12-03-2018;361732;292352
13-03-2018;346430;291109
14-03-2018;344746;293307
15-03-2018;350447;298784
16-03-2018;357307;303178
17-03-2018;365660;295201
18-03-2018;362198;288491
19-03-2018;360778;297083
20-03-2018;358270;295410
21-03-2018;348706;298278
22-03-2018;340217;297473
23-03-2018;335771;295533
24-03-2018;338930;289044
25-03-2018;344481;282122
26-03-2018;338209;290447
27-03-2018;340932;293193
28-03-2018;340625;293618
29-03-2018;348338;292893
30-03-2018;327551;286902
