Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-08-2019;656852;641090
02-08-2019;656361;646450
03-08-2019;647982;635754
04-08-2019;645095;627802
05-08-2019;647173;642141
06-08-2019;625552;640504
07-08-2019;638924;641277
08-08-2019;634471;648733
09-08-2019;649626;652273
10-08-2019;660408;641071
11-08-2019;646182;631801
12-08-2019;666483;648672
13-08-2019;656154;648062
14-08-2019;648812;644899
15-08-2019;652933;644096
16-08-2019;661204;645969
17-08-2019;651019;633727
18-08-2019;650112;630082
19-08-2019;670982;650662
20-08-2019;672493;650406
21-08-2019;666277;646540
22-08-2019;668582;644048
23-08-2019;674430;653292
24-08-2019;664592;641427
25-08-2019;658101;638159
26-08-2019;678294;657673
27-08-2019;676197;665836
28-08-2019;670641;666814
29-08-2019;681306;668178
30-08-2019;689369;676942
