Дата;Генерация, МВт*ч;Потребление, МВт*ч
31-10-2020;308854;257707
01-11-2020;302890;258005
02-11-2020;300727;270453
03-11-2020;307630;267091
04-11-2020;308709;255741
05-11-2020;305112;264307
06-11-2020;306993;264259
07-11-2020;306809;256394
08-11-2020;312226;255993
09-11-2020;321628;271731
10-11-2020;304573;270771
11-11-2020;313873;274944
12-11-2020;306441;272788
13-11-2020;307562;273420
14-11-2020;307599;266863
15-11-2020;301942;263671
16-11-2020;296469;274425
17-11-2020;303823;276584
18-11-2020;297406;278124
19-11-2020;295603;270992
20-11-2020;298231;273451
21-11-2020;283850;269451
22-11-2020;290666;268178
23-11-2020;304915;275349
24-11-2020;306727;277892
25-11-2020;313235;280896
26-11-2020;311111;283611
27-11-2020;310193;281354
28-11-2020;305876;276119
29-11-2020;95487;83164
