Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-03-2017;113030;106737
02-03-2017;113046;106635
03-03-2017;112504;106002
04-03-2017;111994;105544
05-03-2017;115439;108862
06-03-2017;115391;109011
07-03-2017;112447;106042
08-03-2017;109441;102973
09-03-2017;110771;104237
10-03-2017;109665;103278
11-03-2017;106909;100615
12-03-2017;106049;99500
13-03-2017;107924;101396
14-03-2017;103075;96769
15-03-2017;101588;95279
16-03-2017;102346;93657
17-03-2017;104025;95215
18-03-2017;103016;94319
19-03-2017;104006;95142
20-03-2017;105798;96915
21-03-2017;104085;95417
22-03-2017;105958;97163
23-03-2017;104617;95944
24-03-2017;104153;95380
25-03-2017;102185;93525
26-03-2017;103446;94503
27-03-2017;104022;95246
28-03-2017;102049;93677
29-03-2017;102217;93944
30-03-2017;101019;92781
