Дата;Генерация, МВт*ч;Потребление, МВт*ч
31-08-2013;268553;254550
01-09-2013;254919;246647
02-09-2013;256192;268034
03-09-2013;267514;270831
04-09-2013;265431;272275
05-09-2013;272954;278312
06-09-2013;270805;280157
07-09-2013;255804;258240
08-09-2013;251849;247752
09-09-2013;279681;275766
10-09-2013;271992;281507
11-09-2013;273687;280551
12-09-2013;274506;279252
13-09-2013;279305;278880
14-09-2013;262615;262022
15-09-2013;258784;253123
16-09-2013;272761;279609
17-09-2013;271702;282991
18-09-2013;276109;284623
19-09-2013;284083;286787
20-09-2013;287751;290965
21-09-2013;266910;272791
22-09-2013;252529;258844
23-09-2013;273252;287640
24-09-2013;278588;293745
25-09-2013;284224;298652
26-09-2013;289755;300628
27-09-2013;291227;302021
28-09-2013;285525;286375
29-09-2013;270030;274659
