Дата;Генерация, МВт*ч;Потребление, МВт*ч
31-03-2011;214715;236845
01-04-2011;218166;233168
02-04-2011;207210;227698
03-04-2011;199489;229163
04-04-2011;214701;239225
05-04-2011;210716;238885
06-04-2011;210064;237669
07-04-2011;209734;238960
08-04-2011;206841;239526
09-04-2011;207730;229397
10-04-2011;196113;225203
11-04-2011;209076;236987
12-04-2011;209440;238478
13-04-2011;205236;237387
14-04-2011;200957;233731
15-04-2011;198683;230614
16-04-2011;183688;223475
17-04-2011;181389;217771
18-04-2011;189213;225190
19-04-2011;190677;221540
20-04-2011;190459;225707
21-04-2011;197526;233017
22-04-2011;204883;229519
23-04-2011;196501;222134
24-04-2011;180016;207020
25-04-2011;198494;215398
26-04-2011;201219;212255
27-04-2011;200909;210651
28-04-2011;204107;207172
29-04-2011;198793;207330
