Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-01-2019;334046;299849
02-01-2019;319276;303666
03-01-2019;331398;309676
04-01-2019;333103;311837
05-01-2019;337266;312305
06-01-2019;342072;311249
07-01-2019;348598;317054
08-01-2019;353400;325348
09-01-2019;370384;343686
10-01-2019;368066;347534
11-01-2019;368451;345818
12-01-2019;345992;329249
13-01-2019;339160;319943
14-01-2019;352876;340409
15-01-2019;350837;340016
16-01-2019;350934;339822
17-01-2019;354092;339707
18-01-2019;349127;341591
19-01-2019;336513;323043
20-01-2019;340565;320326
21-01-2019;353857;345286
22-01-2019;363182;348588
23-01-2019;367777;360594
24-01-2019;367493;364419
25-01-2019;369971;356578
26-01-2019;354103;346143
27-01-2019;352792;334176
28-01-2019;359777;353616
29-01-2019;358935;351290
30-01-2019;356229;351089
