Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-07-2017;504620;535582
02-07-2017;494258;526826
03-07-2017;527508;560822
04-07-2017;542668;555960
05-07-2017;539852;551088
06-07-2017;537005;555741
07-07-2017;542282;560465
08-07-2017;504530;545614
09-07-2017;482142;529304
10-07-2017;509378;558440
11-07-2017;513200;560471
12-07-2017;525735;562973
13-07-2017;518389;566484
14-07-2017;519760;566318
15-07-2017;492331;532686
16-07-2017;475519;521354
17-07-2017;533946;557999
18-07-2017;545551;561845
19-07-2017;542738;559494
20-07-2017;526568;559531
21-07-2017;528401;556413
22-07-2017;494086;529725
23-07-2017;477362;519095
24-07-2017;532050;559927
25-07-2017;547929;564807
26-07-2017;562102;572982
27-07-2017;559723;579982
28-07-2017;562007;577898
29-07-2017;516077;551237
30-07-2017;501213;534553
