Дата;Генерация, МВт*ч;Потребление, МВт*ч
31-05-2014;254446;245151
01-06-2014;242000;234646
02-06-2014;255701;262509
03-06-2014;252965;266843
04-06-2014;260634;271010
05-06-2014;268848;274732
06-06-2014;265403;274134
07-06-2014;241170;249724
08-06-2014;232046;239531
09-06-2014;270354;269198
10-06-2014;267827;270129
11-06-2014;253222;262895
12-06-2014;226065;238239
13-06-2014;214604;236575
14-06-2014;203913;235147
15-06-2014;213441;232342
16-06-2014;238557;259947
17-06-2014;243356;261734
18-06-2014;246484;263739
19-06-2014;246493;262806
20-06-2014;239479;260789
21-06-2014;224613;247873
22-06-2014;206947;236027
23-06-2014;242571;259165
24-06-2014;244816;260047
25-06-2014;246143;262624
26-06-2014;237654;261694
27-06-2014;237320;261545
28-06-2014;230249;245990
29-06-2014;225636;237773
