Дата;Генерация, МВт*ч;Потребление, МВт*ч
31-08-2015;492486;491430
01-09-2015;493093;490811
02-09-2015;493312;490044
03-09-2015;494225;488941
04-09-2015;488789;492808
05-09-2015;465492;487254
06-09-2015;481636;489092
07-09-2015;508464;507124
08-09-2015;511316;505216
09-09-2015;506957;504994
10-09-2015;509774;506436
11-09-2015;505503;504450
12-09-2015;505296;497879
13-09-2015;508717;499634
14-09-2015;502786;514809
15-09-2015;523410;525093
16-09-2015;521059;530839
17-09-2015;519753;531411
18-09-2015;539892;533223
19-09-2015;525092;527003
20-09-2015;532630;528333
21-09-2015;538104;540942
22-09-2015;537976;542091
23-09-2015;539758;547695
24-09-2015;528305;547965
25-09-2015;534119;548913
26-09-2015;526340;542964
27-09-2015;523392;540252
28-09-2015;547118;555744
29-09-2015;549104;558033
