Дата;Генерация, МВт*ч;Потребление, МВт*ч
29-01-2017;318633;326042
30-01-2017;336068;345501
31-01-2017;341238;349099
01-02-2017;341100;348968
02-02-2017;340323;343294
03-02-2017;336135;335321
04-02-2017;308203;319665
05-02-2017;292473;306244
06-02-2017;311153;314512
07-02-2017;316302;320156
08-02-2017;329026;330365
09-02-2017;335993;338021
10-02-2017;333778;339824
11-02-2017;316781;329999
12-02-2017;312660;320948
13-02-2017;326451;331501
14-02-2017;327359;332877
15-02-2017;325832;329334
16-02-2017;320464;330879
17-02-2017;326368;333012
18-02-2017;311120;320960
19-02-2017;298373;306305
20-02-2017;305055;308181
21-02-2017;299696;308371
22-02-2017;296665;304748
23-02-2017;282491;290432
24-02-2017;276325;283378
25-02-2017;272358;279313
26-02-2017;274032;281377
27-02-2017;294613;296939
