Дата;Генерация, МВт*ч;Потребление, МВт*ч
31-03-2016;258890;247262
01-04-2016;266205;240095
02-04-2016;265708;234087
03-04-2016;264204;233905
04-04-2016;269299;242078
05-04-2016;266447;240364
06-04-2016;265439;238373
07-04-2016;265773;233377
08-04-2016;258296;231194
09-04-2016;253625;220645
10-04-2016;246323;213767
11-04-2016;246316;217351
12-04-2016;237164;214350
13-04-2016;239778;218758
14-04-2016;233580;218030
15-04-2016;243379;215946
16-04-2016;246923;211730
17-04-2016;246803;206295
18-04-2016;257920;214974
19-04-2016;263335;214856
20-04-2016;259993;210960
21-04-2016;266986;219421
22-04-2016;256402;222969
23-04-2016;237691;213444
24-04-2016;231045;205923
25-04-2016;249388;215969
26-04-2016;245174;215071
27-04-2016;247036;216584
28-04-2016;245843;219636
29-04-2016;245833;216942
